image_id,filename,,discrete_emotion,emotion_zh,visual_basis
01,01_静夜思.png,,Serenity,宁静,满月、静水、远山与临水小屋，画面低动态、留白明显，整体安静平和。
02,02_春晓.png,,Contentment,怡然/满足,山村小屋、柔和溪流与春日花木共同形成和谐、舒适的乡居景象。
03,03_登鹳雀楼.png,,Awe,敬畏/壮阔,高崖上的楼阁俯瞰广阔河川与远山，垂直尺度和开阔空间感突出。
04,04_望庐山瀑布.png,,Exaltation,激昂,巨幅瀑布自高山奔涌而下，山势陡峭、动势强烈，具有高能量视觉特征。
05,05_江雪.png,,Serenity,宁静,孤舟、平静水面、远山与大面积疏淡雪景，符合“静水—孤舟—远山”的宁静型视觉模式。
06,06_枫桥夜泊.png,,Melancholy,忧郁,夜月、秋色树木、孤舟与幽暗河岸共同营造清冷、疏寂的秋夜氛围。
07,07_早发白帝城.png,,Awe,敬畏/壮阔,小舟穿行于巨大峡谷和高耸绝壁之间，尺度反差强，突出雄伟山势。
08,08_水调歌头_明月几时有.png,,Serenity,宁静,明月、湖面倒影、临水亭阁和远山构成平稳、低密度且静谧的月夜景观。
09,09_满江红_怒发冲冠.png,,Exaltation,激昂,险峰、翻涌云雾与崖顶红旗形成强烈方向性和张力，整体气势昂扬。
10,10_虞美人_春花秋月何时了.png,,Leisure,闲适,春花、淡墨远山、湖面与亭阁组成轻柔雅致的园林/郊野景象，视觉节奏舒缓。
